VQ1s,,,VQ2s,,,VQ3s,,,VQ4s,,,VQ5s,,,VQ6s,,,VQ7s,,,RQ1s,,,RQ2s,,,RQ3s,,,RQ4s,,,RQ5s,,,RQ6s,,,MQ1s,,,MQ2s,,,MQ3s,,,MQ4s,,,MQ5s,,,MQ6s,,,,,,
4,,,2,,,3,,,3,,,2,,,3,,,3,,,-2,,,3,,,2,,,3,,,2,,,4,,,4,,,3,,,4,,,4,,,4,,,3,,,,54,,
4,,,2,,,3,,,2,,,2,,,3,,,1,,,3,,,5,,,4,,,4,,,4,,,5,,,4,,,3,,,3,,,2,,,3,,,2,,,,59,,
4,,,2,,,3,,,2,,,3,,,4,,,3,,,1,,,3,,,4,,,3,,,4,,,5,,,4,,,3,,,4,,,3,,,3,,,2,,,,60,,
4,,,2,,,3,,,3,,,3,,,3,,,2,,,0,,,4,,,3,,,1,,,3,,,2,,,3,,,2,,,4,,,3,,,4,,,4,,,,53,,
4,,,3,,,4,,,4,,,4,,,4,,,5,,,-1,,,2,,,3,,,3,,,1,,,3,,,4,,,3,,,4,,,5,,,5,,,3,,,,63,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,1,,,1,,,1,,,1,,,4,,,3,,,3,,,5,,,3,,,3,,,,32,,
4,,,3,,,3,,,3,,,3,,,4,,,2,,,1,,,1,,,1,,,-1,,,1,,,1,,,3,,,2,,,4,,,4,,,5,,,4,,,,48,,
4,,,0,,,3,,,2,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,3,,,4,,,3,,,3,,,,46,,
4,,,1,,,3,,,2,,,3,,,2,,,3,,,3,,,5,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,5,,,4,,,5,,,,68,,
3,,,1,,,3,,,2,,,3,,,3,,,2,,,-1,,,3,,,2,,,2,,,1,,,-1,,,4,,,2,,,4,,,2,,,5,,,3,,,,43,,
4,,,1,,,3,,,2,,,3,,,3,,,3,,,-1,,,5,,,4,,,5,,,4,,,5,,,3,,,1,,,3,,,3,,,3,,,2,,,,56,,
