VQ1s,,,VQ2s,,,VQ3s,,,VQ4s,,,VQ5s,,,VQ6s,,,VQ7s,,,RQ1s,,,RQ2s,,,RQ3s,,,RQ4s,,,RQ5s,,,RQ6s,,,MQ1s,,,MQ2s,,,MQ3s,,,MQ4s,,,MQ5s,,,MQ6s,,,,,,
4,,,1,,,4,,,3,,,3,,,4,,,2,,,-1,,,4,,,4,,,4,,,4,,,5,,,0,,,3,,,3,,,3,,,1,,,3,,,,54,,
2,,,1,,,2,,,2,,,2,,,1,,,2,,,1,,,3,,,3,,,3,,,1,,,4,,,3,,,1,,,2,,,5,,,5,,,3,,,,46,,
1,,,1,,,-1,,,1,,,1,,,-1,,,1,,,1,,,1,,,1,,,1,,,3,,,-1,,,2,,,3,,,2,,,5,,,3,,,4,,,,28,,
4,,,2,,,3,,,3,,,4,,,4,,,3,,,0,,,2,,,1,,,3,,,1,,,2,,,4,,,1,,,4,,,4,,,3,,,3,,,,51,,
2,,,1,,,2,,,1,,,2,,,2,,,1,,,-1,,,2,,,1,,,3,,,1,,,1,,,4,,,3,,,4,,,4,,,5,,,4,,,,42,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,1,,,1,,,1,,,2,,,2,,,4,,,3,,,4,,,5,,,4,,,1,,,,35,,
3,,,2,,,3,,,2,,,3,,,2,,,2,,,0,,,3,,,4,,,3,,,4,,,4,,,3,,,3,,,4,,,4,,,3,,,4,,,,56,,
3,,,1,,,2,,,2,,,3,,,3,,,2,,,3,,,4,,,1,,,3,,,4,,,4,,,4,,,3,,,4,,,4,,,5,,,3,,,,58,,
3,,,3,,,1,,,2,,,1,,,3,,,3,,,1,,,1,,,1,,,2,,,3,,,0,,,4,,,3,,,3,,,5,,,5,,,4,,,,48,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,3,,,-1,,,2,,,2,,,1,,,4,,,3,,,4,,,4,,,5,,,4,,,,40,,
3,,,0,,,3,,,2,,,3,,,3,,,2,,,2,,,4,,,3,,,4,,,4,,,5,,,2,,,2,,,4,,,3,,,3,,,5,,,,57,,
3,,,1,,,0,,,3,,,1,,,4,,,2,,,-1,,,5,,,4,,,4,,,2,,,3,,,4,,,3,,,4,,,5,,,5,,,4,,,,56,,
4,,,3,,,3,,,3,,,3,,,3,,,2,,,3,,,5,,,2,,,1,,,4,,,3,,,4,,,2,,,4,,,4,,,2,,,4,,,,59,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,3,,,3,,,1,,,2,,,5,,,4,,,4,,,,36,,
4,,,0,,,3,,,1,,,2,,,2,,,2,,,-1,,,-2,,,0,,,2,,,0,,,0,,,4,,,2,,,3,,,3,,,4,,,2,,,,31,,
3,,,2,,,2,,,2,,,3,,,3,,,3,,,-3,,,1,,,1,,,1,,,1,,,3,,,4,,,2,,,4,,,5,,,3,,,1,,,,41,,
4,,,2,,,3,,,3,,,4,,,4,,,3,,,3,,,4,,,4,,,2,,,4,,,4,,,4,,,3,,,4,,,4,,,4,,,5,,,,68,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,2,,,1,,,2,,,2,,,5,,,4,,,3,,,4,,,3,,,4,,,4,,,,41,,
4,,,1,,,1,,,1,,,0,,,3,,,3,,,1,,,2,,,3,,,2,,,2,,,4,,,4,,,3,,,2,,,3,,,3,,,4,,,,46,,
3,,,1,,,2,,,1,,,2,,,3,,,2,,,1,,,3,,,1,,,3,,,1,,,3,,,4,,,2,,,4,,,5,,,5,,,2,,,,48,,
3,,,2,,,2,,,3,,,2,,,4,,,2,,,0,,,4,,,4,,,4,,,3,,,5,,,4,,,3,,,3,,,4,,,4,,,2,,,,58,,
1,,,1,,,2,,,2,,,3,,,3,,,2,,,3,,,5,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,3,,,4,,,3,,,,60,,
4,,,1,,,4,,,2,,,3,,,2,,,2,,,3,,,4,,,3,,,5,,,3,,,5,,,4,,,3,,,3,,,2,,,4,,,1,,,,58,,
4,,,0,,,3,,,0,,,2,,,3,,,3,,,0,,,1,,,1,,,3,,,1,,,2,,,2,,,3,,,4,,,4,,,4,,,4,,,,44,,
4,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,5,,,2,,,5,,,4,,,4,,,4,,,2,,,4,,,5,,,5,,,2,,,,66,,
4,,,0,,,2,,,3,,,3,,,3,,,2,,,1,,,2,,,3,,,3,,,-3,,,5,,,3,,,3,,,4,,,5,,,3,,,3,,,,49,,
4,,,2,,,3,,,3,,,0,,,1,,,2,,,2,,,4,,,3,,,4,,,4,,,3,,,3,,,3,,,4,,,5,,,3,,,3,,,,56,,
4,,,2,,,3,,,2,,,3,,,4,,,3,,,3,,,5,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,5,,,3,,,4,,,,69,,
4,,,2,,,3,,,2,,,2,,,3,,,2,,,1,,,2,,,2,,,1,,,1,,,1,,,4,,,3,,,4,,,3,,,4,,,4,,,,48,,
4,,,3,,,4,,,2,,,4,,,4,,,3,,,1,,,1,,,1,,,2,,,4,,,4,,,4,,,1,,,4,,,4,,,4,,,3,,,,57,,
4,,,3,,,3,,,2,,,3,,,3,,,4,,,0,,,4,,,2,,,3,,,3,,,3,,,4,,,3,,,4,,,5,,,3,,,5,,,,61,,
4,,,1,,,3,,,2,,,3,,,3,,,2,,,1,,,3,,,4,,,0,,,3,,,4,,,4,,,3,,,4,,,4,,,5,,,5,,,,58,,
4,,,2,,,2,,,3,,,4,,,4,,,5,,,3,,,1,,,0,,,3,,,1,,,2,,,4,,,3,,,4,,,4,,,3,,,3,,,,55,,
4,,,3,,,3,,,2,,,3,,,4,,,3,,,1,,,4,,,3,,,3,,,4,,,4,,,3,,,3,,,4,,,3,,,4,,,3,,,,61,,
4,,,2,,,3,,,2,,,3,,,4,,,3,,,1,,,2,,,1,,,1,,,3,,,-1,,,4,,,3,,,3,,,5,,,5,,,4,,,,52,,
2,,,1,,,3,,,3,,,2,,,4,,,5,,,3,,,3,,,3,,,3,,,4,,,4,,,4,,,2,,,4,,,4,,,5,,,4,,,,63,,
4,,,3,,,4,,,2,,,4,,,4,,,4,,,2,,,2,,,2,,,2,,,4,,,4,,,2,,,2,,,4,,,4,,,5,,,5,,,,63,,
4,,,3,,,3,,,1,,,2,,,4,,,3,,,2,,,4,,,1,,,4,,,1,,,1,,,4,,,3,,,3,,,3,,,4,,,4,,,,54,,
4,,,3,,,3,,,4,,,4,,,4,,,4,,,3,,,5,,,3,,,5,,,3,,,5,,,4,,,3,,,4,,,4,,,4,,,3,,,,72,,
4,,,-1,,,4,,,4,,,3,,,3,,,3,,,-1,,,2,,,4,,,3,,,4,,,5,,,3,,,1,,,4,,,5,,,5,,,5,,,,60,,
4,,,0,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,2,,,3,,,4,,,5,,,3,,,3,,,4,,,2,,,3,,,2,,,,53,,
4,,,0,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,4,,,5,,,4,,,5,,,3,,,3,,,1,,,5,,,2,,,4,,,,62,,
4,,,3,,,3,,,4,,,4,,,4,,,4,,,1,,,5,,,2,,,3,,,4,,,4,,,4,,,3,,,4,,,5,,,4,,,3,,,,68,,
4,,,2,,,3,,,2,,,3,,,3,,,2,,,3,,,2,,,3,,,3,,,3,,,4,,,4,,,3,,,4,,,4,,,5,,,5,,,,62,,
4,,,3,,,3,,,3,,,1,,,2,,,3,,,-1,,,3,,,1,,,4,,,2,,,0,,,4,,,1,,,3,,,4,,,5,,,3,,,,48,,
1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,2,,,1,,,2,,,3,,,2,,,3,,,3,,,4,,,-2,,,,33,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,-1,,,3,,,2,,,3,,,2,,,2,,,2,,,,23,,
4,,,1,,,3,,,2,,,3,,,4,,,3,,,0,,,1,,,1,,,2,,,2,,,3,,,3,,,2,,,3,,,4,,,3,,,3,,,,47,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,4,,,4,,,4,,,4,,,5,,,3,,,3,,,3,,,5,,,5,,,5,,,,54,,
4,,,2,,,4,,,2,,,2,,,3,,,3,,,2,,,4,,,2,,,3,,,3,,,1,,,4,,,2,,,3,,,2,,,2,,,1,,,,49,,
3,,,1,,,2,,,2,,,2,,,2,,,2,,,-1,,,3,,,4,,,4,,,3,,,1,,,4,,,3,,,4,,,3,,,2,,,2,,,,46,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,1,,,-1,,,1,,,1,,,1,,,2,,,2,,,1,,,3,,,5,,,1,,,,23,,
4,,,3,,,4,,,4,,,3,,,4,,,4,,,3,,,5,,,4,,,5,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,,70,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,4,,,4,,,3,,,3,,,,31,,
3,,,2,,,3,,,2,,,4,,,3,,,3,,,3,,,5,,,4,,,5,,,4,,,5,,,4,,,1,,,4,,,5,,,4,,,1,,,,65,,
4,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,5,,,1,,,2,,,2,,,4,,,4,,,3,,,3,,,2,,,4,,,2,,,,54,,
4,,,0,,,3,,,2,,,2,,,3,,,2,,,0,,,5,,,4,,,4,,,2,,,5,,,3,,,0,,,1,,,4,,,2,,,4,,,,50,,
3,,,1,,,3,,,2,,,1,,,4,,,3,,,-1,,,1,,,1,,,4,,,0,,,0,,,4,,,2,,,4,,,4,,,3,,,5,,,,44,,
2,,,2,,,2,,,2,,,0,,,1,,,3,,,1,,,1,,,1,,,1,,,1,,,-1,,,4,,,3,,,4,,,4,,,3,,,2,,,,36,,
3,,,1,,,2,,,2,,,2,,,3,,,2,,,-1,,,4,,,2,,,3,,,1,,,1,,,3,,,1,,,3,,,3,,,5,,,4,,,,44,,
4,,,2,,,3,,,2,,,2,,,4,,,3,,,-1,,,4,,,0,,,4,,,3,,,2,,,2,,,1,,,4,,,3,,,4,,,4,,,,50,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,1,,,1,,,1,,,1,,,-1,,,4,,,1,,,2,,,2,,,1,,,2,,,,21,,
4,,,1,,,3,,,2,,,4,,,3,,,2,,,2,,,1,,,3,,,5,,,4,,,5,,,4,,,3,,,4,,,4,,,5,,,4,,,,63,,
4,,,2,,,3,,,2,,,2,,,2,,,2,,,2,,,5,,,3,,,3,,,4,,,5,,,4,,,1,,,3,,,3,,,1,,,2,,,,53,,
1,,,1,,,1,,,2,,,2,,,0,,,2,,,3,,,3,,,3,,,3,,,3,,,5,,,2,,,-1,,,3,,,5,,,5,,,5,,,,48,,
4,,,2,,,3,,,2,,,3,,,3,,,3,,,3,,,5,,,3,,,4,,,0,,,4,,,3,,,3,,,3,,,5,,,3,,,4,,,,60,,
4,,,1,,,1,,,3,,,0,,,3,,,3,,,0,,,-2,,,1,,,3,,,1,,,3,,,4,,,3,,,4,,,5,,,5,,,4,,,,46,,
4,,,2,,,3,,,2,,,3,,,3,,,4,,,-2,,,2,,,0,,,2,,,-2,,,2,,,4,,,2,,,2,,,4,,,3,,,2,,,,40,,
0,,,0,,,0,,,0,,,0,,,0,,,0,,,-1,,,-1,,,0,,,0,,,0,,,0,,,1,,,1,,,1,,,1,,,1,,,1,,,,4,,
1,,,1,,,1,,,1,,,1,,,1,,,-1,,,1,,,1,,,1,,,1,,,1,,,-1,,,-1,,,-2,,,0,,,2,,,3,,,1,,,,12,,
3,,,1,,,2,,,3,,,2,,,3,,,3,,,3,,,4,,,4,,,5,,,2,,,5,,,4,,,3,,,4,,,3,,,4,,,1,,,,59,,
4,,,1,,,2,,,-1,,,2,,,3,,,4,,,-2,,,2,,,-1,,,3,,,1,,,1,,,3,,,0,,,3,,,2,,,1,,,2,,,,30,,
4,,,1,,,2,,,2,,,3,,,2,,,2,,,0,,,1,,,0,,,2,,,-1,,,1,,,3,,,2,,,4,,,5,,,4,,,4,,,,41,,
4,,,3,,,4,,,3,,,4,,,4,,,3,,,0,,,2,,,4,,,3,,,3,,,0,,,4,,,3,,,3,,,4,,,3,,,4,,,,58,,
4,,,3,,,3,,,1,,,3,,,3,,,1,,,0,,,4,,,2,,,3,,,4,,,4,,,4,,,3,,,4,,,3,,,4,,,5,,,,58,,
4,,,1,,,3,,,2,,,2,,,3,,,2,,,0,,,2,,,1,,,3,,,1,,,3,,,4,,,3,,,4,,,5,,,3,,,1,,,,47,,
4,,,1,,,2,,,1,,,1,,,2,,,2,,,-1,,,3,,,2,,,2,,,4,,,1,,,3,,,3,,,4,,,4,,,5,,,4,,,,47,,
4,,,0,,,3,,,2,,,2,,,3,,,3,,,2,,,3,,,4,,,1,,,4,,,0,,,4,,,3,,,4,,,4,,,5,,,4,,,,55,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,3,,,3,,,2,,,3,,,5,,,1,,,,28,,
4,,,3,,,3,,,2,,,4,,,3,,,4,,,0,,,0,,,-1,,,1,,,1,,,2,,,3,,,3,,,3,,,4,,,4,,,2,,,,45,,
4,,,2,,,3,,,2,,,3,,,3,,,2,,,-2,,,0,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,4,,,4,,,4,,,,57,,
4,,,1,,,2,,,2,,,2,,,3,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,4,,,3,,,3,,,3,,,4,,,3,,,,42,,
2,,,1,,,2,,,2,,,2,,,4,,,2,,,-1,,,1,,,1,,,1,,,-2,,,-1,,,4,,,3,,,3,,,4,,,3,,,2,,,,33,,
4,,,2,,,3,,,2,,,4,,,3,,,3,,,3,,,5,,,2,,,3,,,2,,,4,,,4,,,3,,,3,,,4,,,5,,,3,,,,62,,
4,,,3,,,3,,,2,,,1,,,2,,,2,,,-1,,,1,,,1,,,4,,,0,,,3,,,2,,,3,,,3,,,5,,,4,,,4,,,,46,,
4,,,1,,,3,,,1,,,2,,,2,,,2,,,3,,,5,,,4,,,4,,,4,,,5,,,4,,,2,,,3,,,3,,,5,,,3,,,,60,,
4,,,3,,,3,,,2,,,1,,,3,,,2,,,2,,,4,,,3,,,4,,,1,,,3,,,2,,,1,,,4,,,5,,,4,,,4,,,,55,,
1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,2,,,0,,,2,,,1,,,2,,,4,,,3,,,3,,,2,,,2,,,3,,,,33,,
4,,,1,,,3,,,3,,,3,,,3,,,4,,,1,,,3,,,4,,,3,,,3,,,5,,,4,,,3,,,4,,,5,,,5,,,2,,,,63,,
4,,,3,,,4,,,3,,,2,,,2,,,3,,,1,,,4,,,4,,,4,,,4,,,5,,,4,,,1,,,4,,,5,,,5,,,5,,,,67,,
4,,,2,,,3,,,4,,,3,,,4,,,4,,,2,,,3,,,4,,,2,,,3,,,5,,,3,,,3,,,3,,,4,,,4,,,4,,,,64,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,3,,,1,,,4,,,2,,,4,,,3,,,4,,,5,,,3,,,4,,,,44,,
4,,,3,,,1,,,2,,,3,,,4,,,4,,,0,,,2,,,1,,,4,,,1,,,5,,,4,,,1,,,3,,,5,,,3,,,3,,,,53,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,2,,,3,,,2,,,3,,,5,,,4,,,3,,,4,,,3,,,3,,,1,,,,40,,
4,,,3,,,4,,,2,,,4,,,3,,,4,,,2,,,4,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,5,,,4,,,4,,,,71,,
4,,,1,,,3,,,2,,,2,,,3,,,3,,,2,,,5,,,3,,,3,,,3,,,3,,,4,,,3,,,4,,,4,,,5,,,4,,,,61,,
4,,,3,,,3,,,2,,,2,,,3,,,2,,,0,,,3,,,4,,,4,,,1,,,4,,,4,,,3,,,3,,,4,,,5,,,2,,,,56,,
4,,,3,,,3,,,2,,,4,,,3,,,4,,,1,,,3,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,5,,,2,,,4,,,,66,,
2,,,2,,,2,,,1,,,-1,,,3,,,1,,,-1,,,1,,,-1,,,1,,,1,,,-1,,,4,,,2,,,2,,,2,,,1,,,0,,,,21,,
3,,,2,,,3,,,2,,,3,,,3,,,2,,,3,,,5,,,4,,,5,,,4,,,5,,,4,,,2,,,4,,,4,,,5,,,4,,,,67,,
3,,,1,,,2,,,2,,,2,,,3,,,2,,,3,,,4,,,3,,,4,,,4,,,5,,,4,,,1,,,4,,,5,,,5,,,4,,,,61,,
4,,,2,,,3,,,2,,,1,,,3,,,2,,,2,,,4,,,3,,,4,,,3,,,5,,,4,,,1,,,4,,,3,,,4,,,2,,,,56,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,4,,,3,,,4,,,4,,,2,,,4,,,,35,,
4,,,2,,,2,,,4,,,4,,,4,,,5,,,1,,,2,,,3,,,3,,,2,,,0,,,4,,,3,,,3,,,4,,,4,,,3,,,,57,,
4,,,3,,,3,,,2,,,3,,,3,,,2,,,3,,,3,,,3,,,3,,,3,,,4,,,4,,,3,,,4,,,4,,,5,,,4,,,,63,,
3,,,3,,,3,,,1,,,1,,,3,,,3,,,-2,,,3,,,1,,,0,,,0,,,1,,,3,,,-1,,,3,,,4,,,4,,,4,,,,37,,
4,,,3,,,3,,,1,,,4,,,4,,,3,,,3,,,5,,,4,,,5,,,4,,,5,,,4,,,3,,,4,,,4,,,5,,,5,,,,73,,
3,,,1,,,1,,,4,,,2,,,4,,,3,,,1,,,4,,,4,,,2,,,4,,,2,,,4,,,3,,,2,,,5,,,3,,,2,,,,54,,
4,,,2,,,3,,,2,,,2,,,3,,,2,,,3,,,5,,,3,,,4,,,3,,,4,,,4,,,3,,,3,,,3,,,5,,,5,,,,63,,
3,,,2,,,3,,,3,,,0,,,2,,,3,,,0,,,3,,,0,,,2,,,-2,,,1,,,4,,,3,,,4,,,5,,,4,,,4,,,,44,,
2,,,3,,,3,,,2,,,4,,,3,,,2,,,-1,,,2,,,1,,,3,,,3,,,5,,,3,,,2,,,4,,,5,,,5,,,4,,,,55,,
4,,,1,,,4,,,1,,,3,,,1,,,3,,,1,,,3,,,3,,,1,,,-1,,,3,,,3,,,3,,,3,,,1,,,2,,,3,,,,42,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,-1,,,-1,,,1,,,1,,,-1,,,4,,,3,,,3,,,2,,,2,,,3,,,,22,,
4,,,3,,,3,,,3,,,3,,,4,,,3,,,1,,,4,,,3,,,3,,,2,,,2,,,2,,,-1,,,1,,,4,,,1,,,3,,,,48,,
4,,,2,,,3,,,1,,,2,,,3,,,2,,,3,,,4,,,4,,,3,,,4,,,5,,,4,,,3,,,2,,,4,,,4,,,2,,,,59,,
4,,,3,,,3,,,2,,,3,,,3,,,3,,,0,,,5,,,4,,,2,,,3,,,3,,,4,,,2,,,4,,,3,,,2,,,2,,,,55,,
4,,,2,,,3,,,2,,,3,,,4,,,2,,,1,,,5,,,4,,,3,,,4,,,5,,,4,,,3,,,3,,,3,,,4,,,4,,,,63,,
3,,,2,,,3,,,1,,,2,,,1,,,3,,,3,,,4,,,3,,,3,,,4,,,5,,,4,,,3,,,3,,,4,,,5,,,4,,,,60,,
3,,,1,,,3,,,1,,,2,,,3,,,2,,,-1,,,-1,,,1,,,1,,,-1,,,1,,,4,,,3,,,3,,,4,,,3,,,1,,,,33,,
2,,,1,,,2,,,2,,,1,,,1,,,1,,,-1,,,4,,,2,,,1,,,1,,,4,,,3,,,1,,,3,,,3,,,3,,,4,,,,38,,
-1,,,-1,,,-1,,,-1,,,-1,,,1,,,1,,,-1,,,1,,,1,,,1,,,1,,,-1,,,1,,,1,,,0,,,2,,,3,,,2,,,,8,,
3,,,0,,,4,,,2,,,1,,,2,,,4,,,-1,,,2,,,-1,,,2,,,1,,,2,,,4,,,3,,,4,,,5,,,5,,,5,,,,47,,
4,,,0,,,3,,,3,,,1,,,2,,,4,,,2,,,4,,,1,,,3,,,4,,,-3,,,4,,,3,,,3,,,3,,,4,,,4,,,,49,,
4,,,2,,,3,,,2,,,3,,,4,,,4,,,1,,,1,,,2,,,-1,,,1,,,-1,,,4,,,2,,,1,,,4,,,4,,,0,,,,40,,
4,,,3,,,4,,,1,,,3,,,4,,,3,,,3,,,4,,,4,,,3,,,4,,,4,,,4,,,3,,,3,,,5,,,2,,,3,,,,64,,
3,,,1,,,2,,,1,,,0,,,1,,,2,,,-1,,,0,,,-1,,,1,,,-1,,,1,,,3,,,2,,,4,,,5,,,5,,,3,,,,31,,
4,,,2,,,3,,,2,,,3,,,4,,,3,,,0,,,3,,,4,,,3,,,4,,,4,,,4,,,2,,,3,,,4,,,5,,,5,,,,62,,
4,,,2,,,2,,,3,,,2,,,3,,,2,,,3,,,2,,,3,,,3,,,4,,,5,,,4,,,3,,,4,,,4,,,5,,,5,,,,63,,
4,,,2,,,3,,,2,,,3,,,3,,,3,,,-1,,,-1,,,1,,,1,,,2,,,0,,,3,,,3,,,4,,,4,,,4,,,2,,,,42,,
4,,,3,,,3,,,2,,,2,,,3,,,3,,,2,,,5,,,2,,,2,,,3,,,4,,,4,,,3,,,3,,,5,,,4,,,4,,,,61,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,1,,,1,,,1,,,-1,,,-1,,,3,,,3,,,1,,,2,,,4,,,2,,,,22,,
4,,,2,,,3,,,2,,,2,,,3,,,2,,,-1,,,5,,,4,,,2,,,4,,,4,,,4,,,3,,,4,,,4,,,5,,,3,,,,59,,
3,,,3,,,3,,,4,,,4,,,3,,,5,,,1,,,4,,,4,,,0,,,4,,,3,,,4,,,2,,,4,,,4,,,5,,,2,,,,62,,
4,,,1,,,3,,,2,,,3,,,1,,,2,,,-1,,,3,,,1,,,-1,,,4,,,1,,,4,,,2,,,4,,,4,,,4,,,2,,,,43,,
3,,,2,,,2,,,2,,,3,,,3,,,2,,,2,,,4,,,4,,,3,,,4,,,5,,,4,,,3,,,4,,,4,,,3,,,3,,,,60,,
3,,,3,,,2,,,2,,,3,,,3,,,2,,,3,,,5,,,4,,,4,,,4,,,5,,,4,,,1,,,3,,,0,,,4,,,2,,,,57,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,3,,,3,,,3,,,2,,,4,,,3,,,,33,,
4,,,2,,,3,,,2,,,3,,,3,,,2,,,3,,,5,,,3,,,3,,,4,,,5,,,4,,,3,,,4,,,4,,,3,,,2,,,,62,,
3,,,2,,,3,,,2,,,2,,,2,,,2,,,0,,,3,,,3,,,1,,,2,,,1,,,4,,,2,,,4,,,4,,,4,,,2,,,,46,,
4,,,2,,,3,,,2,,,2,,,3,,,2,,,3,,,3,,,2,,,4,,,3,,,3,,,4,,,2,,,4,,,4,,,2,,,2,,,,54,,
4,,,1,,,3,,,2,,,3,,,3,,,3,,,2,,,2,,,1,,,3,,,4,,,2,,,4,,,3,,,4,,,4,,,4,,,2,,,,54,,
4,,,1,,,2,,,3,,,2,,,3,,,2,,,3,,,4,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,4,,,5,,,3,,,,62,,
1,,,2,,,3,,,3,,,1,,,3,,,3,,,3,,,5,,,3,,,4,,,4,,,5,,,4,,,3,,,4,,,5,,,4,,,3,,,,63,,
4,,,1,,,3,,,3,,,-1,,,3,,,2,,,1,,,4,,,4,,,3,,,4,,,4,,,4,,,3,,,3,,,5,,,4,,,2,,,,56,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,-1,,,0,,,3,,,3,,,3,,,4,,,3,,,2,,,3,,,3,,,3,,,,32,,
3,,,2,,,3,,,2,,,3,,,3,,,2,,,0,,,1,,,1,,,2,,,-1,,,2,,,4,,,3,,,2,,,3,,,4,,,3,,,,42,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,4,,,1,,,3,,,4,,,4,,,2,,,,31,,
4,,,2,,,2,,,1,,,3,,,4,,,3,,,3,,,4,,,3,,,4,,,4,,,4,,,4,,,3,,,4,,,4,,,5,,,-1,,,,60,,
4,,,3,,,3,,,2,,,3,,,3,,,2,,,1,,,1,,,0,,,1,,,1,,,1,,,4,,,3,,,4,,,4,,,4,,,3,,,,47,,
1,,,0,,,1,,,1,,,1,,,1,,,1,,,0,,,0,,,1,,,1,,,1,,,1,,,1,,,-2,,,4,,,4,,,4,,,5,,,,26,,
3,,,1,,,2,,,1,,,0,,,1,,,2,,,0,,,3,,,3,,,2,,,0,,,3,,,2,,,3,,,4,,,5,,,3,,,2,,,,40,,
4,,,3,,,4,,,3,,,0,,,4,,,2,,,1,,,5,,,4,,,5,,,4,,,5,,,4,,,3,,,3,,,3,,,5,,,3,,,,65,,
4,,,1,,,3,,,4,,,3,,,2,,,2,,,1,,,4,,,4,,,2,,,1,,,-1,,,4,,,2,,,4,,,4,,,5,,,4,,,,53,,
4,,,2,,,3,,,2,,,4,,,3,,,3,,,3,,,4,,,3,,,1,,,3,,,5,,,4,,,3,,,4,,,5,,,3,,,1,,,,60,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,-2,,,1,,,1,,,1,,,1,,,1,,,4,,,2,,,4,,,4,,,2,,,2,,,,28,,
4,,,2,,,4,,,2,,,3,,,3,,,5,,,0,,,1,,,1,,,2,,,1,,,2,,,4,,,3,,,3,,,3,,,2,,,2,,,,47,,
4,,,2,,,3,,,2,,,2,,,3,,,2,,,-1,,,1,,,-1,,,1,,,1,,,1,,,4,,,3,,,3,,,5,,,2,,,3,,,,40,,
4,,,3,,,4,,,1,,,3,,,3,,,2,,,2,,,1,,,2,,,4,,,4,,,5,,,3,,,2,,,3,,,4,,,3,,,1,,,,54,,
3,,,2,,,3,,,2,,,1,,,4,,,2,,,1,,,3,,,-1,,,3,,,1,,,3,,,1,,,1,,,2,,,3,,,2,,,2,,,,38,,
4,,,2,,,4,,,3,,,3,,,5,,,5,,,0,,,1,,,1,,,3,,,1,,,2,,,4,,,2,,,3,,,4,,,2,,,0,,,,49,,
1,,,1,,,1,,,1,,,1,,,1,,,2,,,0,,,1,,,1,,,1,,,-1,,,1,,,4,,,3,,,3,,,4,,,1,,,1,,,,27,,
4,,,3,,,3,,,2,,,4,,,4,,,3,,,3,,,5,,,4,,,5,,,4,,,5,,,4,,,3,,,4,,,4,,,3,,,1,,,,68,,
4,,,2,,,3,,,3,,,3,,,4,,,2,,,3,,,5,,,4,,,4,,,3,,,4,,,3,,,3,,,4,,,4,,,4,,,4,,,,66,,
2,,,3,,,4,,,2,,,4,,,4,,,3,,,0,,,4,,,4,,,1,,,3,,,4,,,4,,,3,,,4,,,5,,,2,,,4,,,,60,,
4,,,2,,,3,,,2,,,3,,,3,,,2,,,0,,,3,,,4,,,3,,,3,,,4,,,4,,,3,,,2,,,4,,,4,,,2,,,,55,,
3,,,3,,,3,,,1,,,3,,,3,,,3,,,3,,,4,,,3,,,4,,,4,,,5,,,4,,,3,,,3,,,5,,,4,,,2,,,,63,,
4,,,1,,,3,,,3,,,3,,,2,,,3,,,-1,,,4,,,3,,,3,,,4,,,5,,,4,,,3,,,4,,,3,,,3,,,3,,,,57,,
4,,,2,,,2,,,2,,,2,,,3,,,3,,,1,,,1,,,1,,,1,,,-1,,,1,,,4,,,3,,,3,,,2,,,4,,,4,,,,42,,
4,,,3,,,3,,,2,,,3,,,4,,,2,,,2,,,5,,,3,,,3,,,3,,,5,,,4,,,3,,,4,,,4,,,5,,,4,,,,66,,
